AAPL,MSI,SBUX
161.06,88.51,53.74
155.32,86.99,53.07
157.48,87.48,53.18
159.85,88.6,53.22
161.6,87.92,53.15
160.95,88.19,53.5
157.86,87.13,53.04
157.5,87.37,52.7
157.21,87.2,53.15
159.78,86.41,54.45
159.98,86.21,54.08
159.27,86.51,53.94
159.86,86.88,54.36
161.47,87.3,54.4
162.91,86.94,54.1
163.35,87.66,54.52
164.0,88.12,54.86
164.05,87.87,54.93
162.08,86.66,55.13
161.91,85.72,54.31
161.26,86.35,53.47
158.63,85.12,53.49
161.5,87.01,54.02
160.86,87.74,53.54
159.65,85.97,54.29
158.28,84.58,54.53
159.88,85.48,54.67
158.67,85.48,54.69
158.73,85.84,54.62
156.07,85.65,55.15
153.39,84.99,55.01
151.89,84.29,55.09
150.55,83.5,54.95
153.14,83.02,55.13
154.23,84.1,54.99
153.28,83.69,54.5
154.12,84.87,53.71
153.81,85.84,53.81
154.48,85.69,53.99
153.48,85.64,53.93
155.39,86.0,54.6
155.3,89.44,55.17
155.84,89.1,55.02
155.9,89.08,55.42
156.55,89.26,55.64
156.0,89.8,55.97
156.99,89.93,55.72
159.88,89.36,54.91
160.47,88.88,54.51
159.76,89.09,55.21
155.98,89.65,55.4
156.25,90.0,54.57
156.17,89.94,54.27
157.1,90.23,54.28
156.41,90.04,54.16
157.41,90.28,54.91
163.05,91.19,54.88
166.72,90.37,55.17
169.04,90.54,54.84
166.89,90.56,55.13
168.11,90.02,54.87
172.5,94.25,56.03
174.25,92.43,56.57
174.81,92.11,57.22
176.24,92.66,57.91
175.88,91.61,57.36
174.67,91.07,57.04
173.97,91.37,56.64
171.34,91.02,56.93
169.08,90.39,56.7
171.1,90.97,57.24
170.15,90.95,56.93
169.98,92.33,56.81
173.14,92.45,57.26
174.96,91.83,57.14
174.97,92.36,56.8
174.09,92.88,55.91
173.07,94.53,56.66
169.48,94.17,57.51
171.85,94.11,57.82
171.05,93.03,57.32
169.8,93.63,58.76
169.64,90.66,59.34
169.01,91.29,59.28
169.32,92.8,59.14
169.37,92.52,58.61
172.67,92.33,59.07
171.7,93.37,59.27
172.27,93.94,59.49
172.22,92.2,59.7
173.97,93.15,58.29
176.42,94.49,58.03
174.54,93.28,58.01
174.35,92.1,57.73
175.01,91.62,57.58
175.01,90.76,57.3
170.57,90.67,57.14
170.6,90.8,57.27
171.08,90.57,57.81
169.23,90.34,57.43
172.26,90.55,57.63
172.23,89.91,58.71
173.03,90.66,58.93
175.0,91.88,59.61
174.35,92.82,59.31
174.33,92.12,59.18
174.29,92.38,59.82
175.28,93.55,60.0
177.09,96.57,60.4
176.19,95.86,60.56
179.1,97.28,60.66
179.26,97.5,61.09
178.46,97.8,61.26
177.0,97.33,61.41
177.04,96.76,61.69
174.22,95.84,60.83
171.11,97.68,60.55
171.51,99.0,57.99
167.96,99.18,57.02
166.97,99.8,57.19
167.43,99.46,56.81
167.78,99.12,56.0
160.5,103.87,55.77
156.49,101.06,54.69
163.03,102.76,55.61
159.54,102.63,54.46
